Gui ,50,476,465,659,789,1217,180,1217,0.000%,.44204,6.43,0.05
Practice Automation,50,2028,1618,3234,3638,4889,1146,4889,0.000%,.44057,20.55,0.11
Practice Automation-0,50,614,357,1233,1429,1788,290,1788,0.000%,.44464,0.16,0.05
Practice Automation-1,50,1412,1174,2070,2191,3902,849,3902,0.000%,.44607,20.65,0.05
example,50,228,108,479,728,1388,34,1388,0.000%,.45251,0.39,0.05
W3org,50,464,250,1336,1443,1743,55,1743,0.000%,.45650,24.43,0.05
info,50,921,841,1284,1315,1920,648,1920,0.000%,.45635,1.09,0.06
wikkepedia,50,234,144,451,485,554,100,554,100.000%,.46304,0.15,0.05
httpbin,50,8081,1761,33388,36578,43171,300,43171,16.000%,.45988,0.21,0.05
freecsstemplate,50,564,512,781,825,1105,381,1105,100.000%,.46518,1.38,0.00
quotestoscrape,50,907,706,1453,1540,1666,601,1666,0.000%,.46444,5.11,0.06
bookstoscrape,50,1531,1269,2205,2435,5691,893,5691,0.000%,.46640,23.49,0.06
TOTAL,600,1455,729,1883,2698,31129,34,43171,18.000%,5.03343,96.37,0.60
